clade_name	N_B9	N_B8	N_B6	N_B5	N_B4	N_B2	N_B21	N_B1	N_B14	N_B13	N_B12	N_B11	N_B10	IN_B7	IN_B29	IN_B28	IN_B27	IN_B25	IN_B24	IN_B23	IN_B22	IN_B19	IN_B18	IN_B17	IN_B16	IN_B15
Mucispirillum_schaedleri	0.21943	0.40486	0.03514	0	0.30381	0	0	3.88071	2.33336	0.26181	0.18542	0.01186	0	1.40799	0.12892	0.04356	0.05667	0.05861	1.95301	0	0.10732	0.13784	3.44675	0.11335	0.23287	0.55829
Staphylococcus_lentus	0	0	0	0	0	0	0	0	0	0	0.00823	0.10448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_nepalensis	0	0	0.01853	0.04922	0.06537	0.1898	0	0	0	0	0.05684	0.43632	0.06557	0	0	0	0	0	0	0	0	0.13514	0	0	0	0.09833
Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14091	0	0	0	0	0	0	0	0	0	0
Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0.15534	0	0	0.00465	0	0	0	0	0	0.0488	0	0	0	0
Enterococcus_ratti	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52143	0	0	0	0	0	0	0	0	0	0	0	0.36319
Lactobacillus_murinus	4.47934	3.33647	16.72549	12.01761	10.53111	21.13937	7.26536	12.58147	16.57093	3.77443	2.24829	3.21796	46.52891	1.66704	0.76448	0.5198	3.37637	1.37168	1.06002	0.85244	1.08213	8.81975	1.94485	1.30794	2.73202	0.80243
Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0	0	0	2.30308	0	2.19766	30.2534	5.75372	20.4049	22.00573	11.74557	33.26571	5.2282	0.83592	1.48076	0.85177	3.46126	0.05014
Clostridium_sp_ASF356	0	0.36948	0	0	0.1292	0	0	0.0599	0	0.04434	0	0	0	0	0.03948	0.37897	0.00654	0	0	0	0.01467	0	0.41707	0.08374	0	0
Clostridium_sp_ASF502	0.23694	1.67857	0.06921	0.05521	0.01508	0.04234	0	0.0533	0.8	0.83895	0.09424	0.13556	0.2565	0.12387	0.40244	1.7067	0.15602	0.27486	0.10508	0.01711	0.03611	0.10351	0.72085	0.10401	0.19733	0.18079
Eubacterium_plexicaudatum	0	0	0	0	0	0	0	0.01566	10.69238	0	0	0	0	0.00782	0.10308	0.36225	1.12457	0.07241	0	5.95891	0	6.72509	0.00647	0	0	0
Eubacterium_sp_14_2	0.07621	0.04044	0.01522	0.06058	0	0.0173	0	0	0	0.00981	0	0	0.00863	0	0.04721	0	0.01008	0	0	0	0	0	0.13324	0	0	0.03977
Acetatifactor_muris	0.17285	0.40831	0.0221	0	0.00363	0	0	0.01353	0.09667	0.02047	0.02316	0	0.00295	0.56854	0.02409	0	0.96707	0	0	0	0.01131	0.20722	0.06731	0.01174	0	0
Dorea_sp_5_2	2.17471	1.16679	0.95938	2.16395	4.07636	0.72979	0.33626	2.98349	0.88788	0.18718	0.02773	0.08793	0.19681	0.40931	0.30935	0.46659	1.04055	0.26272	0.29942	0.16907	0.30022	0.39975	0.36683	0.16887	0.62367	1.69304
Lachnospiraceae_bacterium_10_1	0.01825	0.01311	8.27858	0	1.43104	0	0	0	0.16095	0.54224	0.95964	0	0	0.28829	0	0	0.61821	0	0	0	0	0	0	1.21453	0.50212	0
Lachnospiraceae_bacterium_28_4	0	0.80824	1.20111	1.10151	13.6389	5.68726	0	0.86799	0.03851	0.17921	0.04964	0.00671	0.03653	0.04471	0.12668	0	0.57272	0	0.10559	0.61631	0	1.97559	0.32028	0.28345	0.39072	0
Lachnospiraceae_bacterium_3_1	0.01897	0.26668	0.03604	0.12308	0.18094	0.00657	0	0.09589	0.09761	0.13295	0.01986	0.01607	0.03198	0.11852	0.59787	0.08051	2.95119	0.00235	0.0484	0.58478	0.00224	0.058	0.05498	0.01772	0.03903	0.01019
Lachnospiraceae_bacterium_3_2	0	0	0.04449	0	0.01667	0	0.16697	0	0.09723	0.00869	0	0	0	0	0	0	0.01098	0	0.00613	0	0.0526	0.02331	0.4239	0.01924	0	0.00697
Lachnospiraceae_bacterium_A2	0.92847	5.71795	0	0.02758	0	0	0	0	2.24568	4.72907	0.20703	0.58968	0.60882	0.0151	8.04562	1.95399	0.54659	0.23119	0.00779	0.08525	0.39693	3.13488	30.31183	3.1519	0	3.28481
Lachnospiraceae_bacterium_A4	0.41635	1.64312	1.52417	0.13196	3.04993	0.27379	0.14846	1.81446	0.09663	0.58952	1.00665	0	0.03342	0.12796	0.01136	2.39305	0.65058	0	3.30519	0.41423	0.07171	1.03729	29.59427	0.00626	0.3198	0
Lachnospiraceae_bacterium_COE1	0.0093	0.52286	0.02203	0	1.82283	0.11247	0.27441	0	0.00362	0	0.15608	0.01228	0	3.94778	0.30101	4.47371	0.15133	0.10872	0.61409	0.13042	0.00305	0.17305	1.78365	1.23311	0.0598	0
Lachnospiraceae_bacterium_M18_1	0.07117	0.30185	0.18069	0.00323	0	0	0	0.08658	0.32886	0.21005	0.02027	0.00826	0.23986	0.03339	0.11579	0.06034	0.03471	0.00809	0.03001	0	0.01036	0	0.37469	0	0.00553	0
Oscillibacter_sp_1_3	1.40435	0.59126	0.25586	0.18703	1.02311	0.06623	0.17286	0.39574	0.43946	0.17354	0.1725	0.02451	0.00204	0.10598	0.0511	0.02306	0.19076	0.02875	0.07355	0.09338	0.0151	0.2133	0.53441	0.13709	0.1065	0.17437
Romboutsia_ilealis	0	0	0	0	0	0.03215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris	0.25122	0.33069	0.13123	0.11171	0	0	0	0.52056	0.07407	0.11667	0	0.0423	0.02933	0	0.14105	0.92534	0.51753	0.04058	0	0.07746	0.01515	0.00172	0.3872	0.03265	0	1.16892
Anaerotruncus_colihominis	0	0.02799	0	0	0	0	0	0	0.04921	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06677	0	0	0.01339
Anaerotruncus_sp_G3_2012	2.35602	4.55497	1.49452	2.93829	2.47832	0.1273	0.47572	2.72336	3.73147	2.32025	0.36368	0.74043	0.40674	2.05889	1.40065	3.16288	2.78305	1.27487	0.54773	0.73186	0.86427	1.9875	8.34249	0.48881	0.54498	1.60192
Clostridium_cocleatum	0	0.07365	0	0	0.02942	0	0	0	0	0.17248	0.29855	0.20345	0	0.02045	0.08225	0.17763	0.1178	0	0	0	0	0	0	0	0.12872	0.05507
Faecalibaculum_rodentium	0	0	0	0	0	0	0	0	0	0	0.1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87098	0
Firmicutes_bacterium_ASF500	0.4639	0.60766	0.61862	0.22668	0.21638	0	0	0.14674	2.25456	0.83679	0.06364	0.07163	0.11792	0.61456	2.03627	0.37259	1.35623	0.56695	0.3546	0.2932	0.1478	0.25249	1.17527	0.18271	0.1204	2.08685
Parasutterella_excrementihominis	0	0	0	0	0.02315	0	0	0	0	0	0.46408	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07589	0
Helicobacter_japonicus	12.8811	6.33115	0.83616	1.88548	36.04053	1.9881	1.49823	20.21658	27.43716	15.54871	8.72987	2.36455	10.52806	35.75165	3.30097	3.39134	4.55237	2.21894	17.74482	0.88486	8.68243	5.18569	13.30442	6.01065	7.14454	14.91618
Escherichia_coli	0.24079	1.14345	0.914	0	0	0.01256	0	0.21363	0.0409	0.42531	0.16858	0.15404	8.7286	1.44449	0.6056	0.37675	0.45676	0.00933	0.75912	0.4775	0.51619	0	0.4568	2.96017	8.9107	4.89915
Rodentibacter_ratti	0	0	0	0	0	0.02163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02036	0	0	0	0
Akkermansia_muciniphila	0	0	0	0	0.06626	0	0	0	0	0	0	0	0	0.10065	0	0	0	0	0	0	0	0	0	0	0	0
