# Pathway	IN-B15-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B16-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B17-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B18-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B19-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B22-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B23-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B24-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B25-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B27-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B28-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B29-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B7-d94.sam.bam.filtered.sorted_merged_Abundance	N-B1-d94.sam.bam.filtered.sorted_merged_Abundance	N-B10-d94.sam.bam.filtered.sorted_merged_Abundance	N-B11-d94.sam.bam.filtered.sorted_merged_Abundance	N-B12-d94.sam.bam.filtered.sorted_merged_Abundance	N-B13-d94.sam.bam.filtered.sorted_merged_Abundance	N-B14-d94.sam.bam.filtered.sorted_merged_Abundance	N-B2-d94.sam.bam.filtered.sorted_merged_Abundance	N-B21-d94.sam.bam.filtered.sorted_merged_Abundance	N-B4-d94.sam.bam.filtered.sorted_merged_Abundance	N-B5-d94.sam.bam.filtered.sorted_merged_Abundance	N-B6-d94.sam.bam.filtered.sorted_merged_Abundance	N-B8-d94.sam.bam.filtered.sorted_merged_Abundance	N-B9-d94.sam.bam.filtered.sorted_merged_Abundance
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	22261.6	39917.7	70917.6	9280.31	59446.3	51586.6	31023.1	0	74446.3	38065.2	54204.4	26847.4	56713.8	0	0	0	0	0	0	63474.9	64391.5	31842.7	26340.3	33115.3	0	0
UNINTEGRATED|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	2073.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2645.63	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Candidatus_Arthromitus.s__Candidatus_Arthromitus_sp_SFB_1	0	0	0	0	0	0	0	0	1223.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF356	0	0	0	9484.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	59189.4	0	0	0	0	0	0	45820.4	0	0	0	0	0	0	44444.7	41629.9	0	0	0	0	0	41231	0
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	33224.3	0	0	0	0	0	0	0	0	40648.2	0	0	0	52250.9	0	0	0	0	41027.5	0	0	78366.9	59818.5	36219.4	36039.3	49353.6
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	3743.05	0	0	0	0	0	3965.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	537.124	0	0	0	0	0	0	0	0	0	1352.15	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	581.077	1083.39	2436.36	2783.56	2711.06	2860.29	5080.58	1264.59	5859.24	2920.25	5986.19	2710.02	1005.41	1319.3	3560.27	6326.91	2337.25	3002.55	1689.22	3457.81	1891.48	1787.64	6455.57	2980.97	2504.3	3607.02
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	61930.8	160754	73245.2	5011.58	0	18687.2	10231.1	14831.5	0	12309.6	5547.27	13989.2	25036.3	4098.61	214346	4861.61	2917.06	6461.21	2404.73	0	0	0	1570.16	15637.1	11606.4	8321.9
UNINTEGRATED|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	30043.7	106404	18552.9	104598	0	19593.6	86449.2	17508	0	0	17759.5	3394.97	5157.07	0	0	141837	0	0	0	39322.8	8355.2	11984.5	33839.1
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	4533.31	758.436	3098.61	3347.15	1352.96	5568.92	0	6408.39	666.441	2228.55	496.308	1161.3	16858	5431.02	5289.1	554.42	4804.47	6727.07	10992.3	0	0	9809	0	421.674	1477.1	3547.58
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	2049.27	9059.7	6236.71	6846.53	38361.9	8196.56	5117.01	3594.49	6602.68	13318	2636.65	4256.27	7345.12	32054	232782	16561.7	12030.4	14322.9	58540.4	71460.5	15486.9	29242.9	46404.6	64893.6	8722.02	15007.4
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	524.523	18766.9	7883.82	8694	6036.27	55461.2	295431	70900.6	159968	129514	26056.7	193044	13933.9	0	0	20357.4	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	6063.77	3979.16	2376.12	42901.3	2856.42	4115.64	347.346	25738.1	1506.55	1418.35	842.557	3077.26	21430.1	37005.3	164.636	488.803	4157.78	3385.76	30134.2	106.017	0	3924.85	871.149	1521.81	3067.41	3648.69
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	13690.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30846.4	0	0	0	39245.3
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	31423.6	88845.9	52332.5	0	44902.8	0	0	57876.7	0	0	27285.3	0	0	84390.2	33249	0	57672.2	24645.3	0	75800.5	116310	90217.3	0	0	0	41393.7
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	15537.8	3843.76	4287.23	8355.12	0	14332.1	20172.3	29139.8	0	12950.8	0	11369.6	19327.8	0	0	22485.8	0	9672.01	23138.1	63237.3	14295.6	18642.8	27098.3	0	19718.6
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	16675.9	25960.9	18150.9	0	19587.7	28086	14969.1	29334.4	25281.6	15043.8	22607.1	16426.2	14287.3	27267.8	19019.2	38877.1	31226.8	12330.2	10036.5	52973.9	44620.1	41131.8	24151.2	28004.3	24678.6	0
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	0	2251.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4141.89	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pasteurella.s__Pasteurella_pneumotropica	0	0	0	0	228.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Proteus.s__Proteus_mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.677	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_flavefaciens	0	323.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_lentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769.777	85.1487	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thoraltensis	406.554	0	0	0	0	0	959.337	0	476.603	1207.06	0	175.45	0	0	1021.06	1358.69	275.74	0	0	0	0	0	0	0	700.558	0
UNINTEGRATED|unclassified	282824	297726	503970	634897	429066	422430	351073	411564	463193	500760	440529	479606	569815	526840	261206	495884	632492	604579	451860	435228	413463	498237	501333	482168	530100	517849
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	231.558	114.828	141.922	47.424	166.077	161.41	102.981	151.253	110.449	91.0129	137.476	120.337	117.675	79.8177	123.147	160.659	121.938	141.775	76.9979	119.614	70.8069	78.6171	69.4469	109.064	136.004	77.6919
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	2.8086	2.10313	0	0	0	0	0	0	0	0.862912	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	12.2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1427	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	305.326	39.1787	83.6679	5.83912	127.003	327.575	55.312	154.713	53.0515	16.1908	193.29	171.683	78.0402	17.7083	175.87	348.945	32.0616	198.26	61.6943	65.2524	85.2973	33.5956	123.07	191.023	193.866	93.3977
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	1.9864	7.62034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	4.98268	0	0	0	0	0	0	0	0	0	0	0	0	6.63754	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	21.341	94.6043	48.3087	0	39.4113	0	0	55.5157	0	0	17.4733	0	0	100.467	27.0927	0	45.8057	7.92596	0	67.3971	100.473	93.2879	0	0	0	24.1195
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	151.042	150.589	350.843	91.7307	286.116	267.38	178.004	206.986	339.038	209.143	241.661	220.812	297.569	115.544	153.988	300.257	402.476	326.6	138.361	272.054	104.378	191.062	155.346	250.208	298.906	192.235
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	4.27871	7.96977	5.34329	0.352461	0	0.998476	0.38873	0.52913	0	0.328165	0	0	1.24982	0	11.33	0	0	0	0	0	0	0	0	0.416583	1.21388	0.401102
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	13.9992	41.4914	24.9439	1.43848	0	4.91859	2.46739	2.44853	0	1.88178	0	0	5.81189	0	53.9301	0	0	0	0	0	0	0	0	2.38014	5.06556	1.8751
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78756	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	98.9873	99.5916	156.451	44.2474	157.716	105.979	58.244	85.7027	126.092	103.856	120.225	78.4296	148.048	68.9073	90.2437	46.4533	98.5149	76.1268	56.4589	99.7529	38.8729	66.6905	47.2184	72.9586	60.1215	62.4489
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	2.20452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	71.7707	59.5906	0	0	29.0615	185.47	50.5635	95.5228	122.758	65.9232	128.443	113.702	101.379	0	57.0988	64.3678	145.709	0	46.8541	79.3916	54.486	51.657	105.597	56.2584	68.09	89.2681
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	133.608	131.014	208.157	53.0768	203.322	160.88	156.778	141.08	168.842	134.622	159.599	140.462	165.644	72.2153	129.011	136.212	220.7	85.7334	56.9223	167.378	65.3273	77.4243	63.4231	109.216	96.9513	99.5033
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_senegalensis	0	0	18.4785	0	4.02721	0	0	0	0	0	0	0	0	6.01998	0	9.63737	0	0	0	11.6012	6.78334	14.7622	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	4.7677	21.9701	18.7456	2.18418	5.19389	6.04782	7.57709	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04018	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	11.9478	39.8013	19.9431	1.39338	0	4.70921	3.11576	5.52106	0	0	0.998186	3.51194	6.46289	0	49.0658	0	0	2.33188	0	0	0	0	0	2.47913	1.99225	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Pasteurella.s__Pasteurella_pneumotropica	0	0	0	0	0.637849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	59.8869	55.146	0	0	21.8011	214.04	154.367	78.0249	128.033	54.6361	160.44	120.803	77.3295	0	45.265	56.3766	131.453	0	34.7405	80.213	48.2009	38.2544	93.987	47.4222	56.472	72.6615
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	3.77125	4.68522	3.2425	0	1.22605	1.14316	0.829535	0.443798	0	0	2.5239	0.969149	0.661197	0	7.32552	0	0	0.695994	0	0	0	0	0	0	0.463169	0.374805
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	7.53566	17.3663	8.9761	0	0	2.85119	0	1.30362	0	0	0	0	2.34425	0	25.8387	0	0	1.12257	0	0	0	0	0	0	1.0251	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	5.10318	8.18309	3.65531	0.22357	0	0.508662	0.209411	1.12426	0	0.70701	0.29593	0	1.96125	0	11.8297	0	0.201935	0.4999	0	0	0	0	0	0.554551	0.966063	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli	8.79932	22.7156	8.75539	0.823846	0	2.22579	0	2.61755	0	0.942613	1.05212	0	5.21794	0	33.6625	0	0.423376	1.63224	0	0	0	0	0	0	2.89728	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	155.523	56.0147	140.286	12.3969	152.568	123.858	49.9277	74.4926	106.278	61.4654	118.883	65.7185	121.324	36.8362	80.3818	121.15	86.4552	114.63	36.2239	77.9735	29.7698	42.0439	51.3273	81.7414	97.7169	55.9722
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	1.557	2.99251	4.03851	0.836782	0	0	0	0	1.57979	0	2.03197	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	7.91128	1.2902	0	0	0	0	0	0	0	1.1524	0	0	0	0	0	0	0	0	3.65348	5.26189	5.92262	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	238.407	47.3426	66.8192	6.67226	108.784	283.733	48.7847	123.614	54.6263	12.6551	156.165	144.201	74.5354	12.7967	152.188	342	31.4021	176.52	50.0795	55.4496	67.8932	36.3219	121.407	153.465	134.542	73.3399
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	17.2033	83.8483	215.026	2.8299	35.147	9.68603	69.9704	0	61.4418	120.406	82.2153	65.4067	22.8879	0	0	0	0	0	0	118.541	10.0794	4.60397	4.29385	9.32177	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	44.6187	35.16	34.2045	0	44.1373	67.8188	38.6522	124.428	49.2078	29.115	52.812	52.1214	27.3867	47.5163	102.438	194.257	334.007	241.768	76.0401	59.865	77.1754	35.7094	70.0963	77.2772	186.116	179.839
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	98.2534	127.938	59.272	63.6495	38.5038	79.1536	115.171	112.409	97.4926	145.399	57.3842	159.16	123.687	69.6331	81.7026	32.6198	64.3934	86.6134	129.483	1.27654	3.523	86.697	4.27937	14.8538	38.0807	47.6123
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	13.9971	43.8872	22.0657	1.18544	0	4.93692	3.78201	3.9733	0	3.49484	2.54632	3.67894	8.16475	0	61.7112	1.72998	1.88556	1.14422	0	0	0	0	0	4.60704	3.51707	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	99.7543	92.4975	24.3263	111.376	63.4114	152.244	58.3712	123.95	29.4676	24.9659	0	120.801	276.431	208.135	16.392	51.7856	92.5247	177.074	330.994	0	0	251.977	0	22.0493	23.2639	39.6258
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	51.8482	149.467	28.3543	26.2456	16.3545	35.7186	9.60467	31.4942	3.26197	4.04495	1.80874	16.1107	71.4347	31.4145	53.7249	7.40456	33.0738	41.4798	67.3257	0.476613	1.32726	42.7001	1.61088	2.39905	15.5552	20.9219
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	14.2787	51.7983	20.0109	0	0	3.39687	3.0689	3.81848	0	2.44076	2.18106	2.48857	7.50169	0	61.5113	0.999586	1.31466	1.22668	0	0	0	0	0	3.31163	2.85098	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	43.1983	38.9499	9.24131	43.4829	25.4308	69.9425	23.3272	52.566	0	0	0	48.7126	130.312	87.3736	0	20.3683	38.0809	75.2821	157.659	0	0	107.991	0	0	0	0
ARO-PWY: chorismate biosynthesis I	82.7413	50.4317	63.4369	161.583	98.9665	37.9557	46.0562	70.2005	27.7718	60.5843	57.2686	49.5175	90.6252	61.8743	48.9926	32.8514	32.4034	69.0584	94.8287	20.8238	4.95018	55.5657	39.3505	47.9838	69.7927	37.3604
ARO-PWY: chorismate biosynthesis I|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	1.30286	0	0	0	0	0	0	4.83649	0	0	0	0	0	0	3.64617	0	0	0	0	0	0	4.885	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	19.8578	40.0474	18.6207	0	0	3.59426	0	0	0	1.54166	0	3.39632	7.70665	0	54.4272	0	0	1.48017	0	0	0	0	0	4.7831	4.27465	2.30325
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	61.4261	0	59.6253	0	0	9.57551	0	0	0	0	0	0	0	0	65.1236	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	61.9544	52.3434	176.615	477.506	177.976	54.3718	83.0661	102.266	39.6447	238.659	111.048	178.27	198.423	135.876	60.077	92.3707	70.8597	180.17	147.162	95.1154	14.6473	202.1	102.888	156.473	168.123	88.0494
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	77.2446	68.4073	124.859	55.2005	115.61	122.401	84.0394	81.2761	109.324	68.2025	104.839	68.5073	90.8595	56.3506	71.0647	98.1604	77.6654	85.4332	37.4563	70.2079	44.423	32.2261	58.0026	70.3109	69.8099	58.2305
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	9.41557	0.87529	3.16394	2.02768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79971	6.7205	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	40.7182	56.4458	203.672	2.20877	151.479	74.6461	43.6683	0	170.292	92.8782	110.349	42.3075	154.987	0	0	0	0	0	0	121.53	11.3835	43.9672	29.42	62.301	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	26.4041	81.2212	40.0971	5.30393	0	7.2147	4.21456	5.53061	0	9.28993	4.81567	10.0017	7.60755	1.52902	102.278	2.76368	0.533741	2.83608	0.963901	0	0	0	0	6.1196	4.22966	1.89833
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Pasteurella.s__Pasteurella_pneumotropica	0	0	0	0	0.673005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	89.2641	144.069	253.483	172.492	173.762	291.794	275.086	222.801	277.164	162.774	231.278	175.556	174.252	216.154	87.883	383.518	324.194	251.865	83.5157	280.564	281.165	139.598	324.075	219.942	199.322	227.368
AST-PWY: L-arginine degradation II (AST pathway)	2.73714	6.58695	2.01148	0	0	0.551066	0.13161	0.655926	0	0.444966	0	0.26997	0.901639	0.15675	7.60645	0	0.268465	0.294771	0.109825	0	0	0	0	0.733625	0.709664	0.276413
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_coli	9.01974	34.3747	9.55115	0	0	2.80463	0.868841	3.07237	0	2.61991	0	1.66788	4.34272	0.877186	36.2063	0	1.22998	1.29488	0.49699	0	0	0	0	4.20454	3.03637	1.53093
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	14.645	25.084	12.924	13.2412	8.55393	7.96751	2.81506	0.618744	0	4.75903	15.0983	2.42452	4.62984	0	28.4923	0	1.26161	1.67633	2.29263	0	0	0	1.08224	6.12	8.1129	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Escherichia.s__Escherichia_coli	11.3313	33.7697	14.3846	0	0	3.77887	0	1.33164	0	2.51224	0	4.6382	4.31655	0	41.4552	0	0	1.32891	0	0	0	0	0	0	1.42074	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	0	0	0	0	31.6137	23.8539	0	0	0	20.4096	56.3261	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0001	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	105.692	98.8823	83.1925	221.772	101.551	134.794	85.3291	105.079	96.8747	83.4432	102.058	75.4281	116.442	156.863	181.561	102.858	109.579	87.3448	151.954	111.324	140.48	97.1385	131.715	102.49	103.167	96.8015
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	7.51069	17.2742	15.1537	0	0	5.02699	0	0	0	2.79246	0	0	10.002	0	42.4217	0	0	3.06944	0	0	0	0	0	0	2.43335	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	248.086	358.606	306.903	753.254	191.52	560.112	494.494	430.088	524.272	378.414	402.594	427.062	447.035	742.603	131.927	408.578	404.403	278.314	369.84	312.792	769.374	481.897	537.67	283.55	342.164	434.889
CALVIN-PWY: Calvin-Benson-Bassham cycle	162.755	162.733	231.47	178.539	235.355	200.249	175.521	137.546	217.251	168.92	193.529	154.553	209.904	176.669	145.586	232.274	256.024	204.32	144.617	236.173	236.15	127.038	226.687	207.854	191.147	164.626
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	356.171	569.673	617.301	681.74	602.124	794.105	834.461	569.823	877.249	645.97	661.292	672.664	669.457	919.295	565.364	1085.47	1124.78	836.722	605.451	1156.64	1524.29	688.277	1386.27	1043.7	765.213	877.423
CENTFERM-PWY: pyruvate fermentation to butanoate	1.07168	0	0	7.96732	3.48653	3.95116	4.09014	0.452837	0	0	6.6453	1.7007	5.56016	0.486961	0	1.46545	0	0	3.1293	0	0	0	0	0	1.59563	0
CENTFERM-PWY: pyruvate fermentation to butanoate|unclassified	0	0	0	26.7178	12.9787	15.8654	20.6107	0	0	0	29.6294	10.1248	24.1274	0	0	6.48664	0	0	0	0	0	0	0	0	6.79525	0
