clade_name	N_B9	N_B8	N_B6	N_B5	N_B4	N_B2	N_B21	N_B1	N_B14	N_B13	N_B12	N_B11	N_B10	IN_B7	IN_B29	IN_B28	IN_B27	IN_B25	IN_B24	IN_B23	IN_B22	IN_B19	IN_B18	IN_B17	IN_B16	IN_B15
Dorea_sp_5_2	67306.0	38870.0	34597.0	70810.0	100481.0	26278.0	3978.0	80770.0	49721.0	11809.0	2850.0	7439.0	12592.0	27321.0	13136.0	15530.0	50983.0	13130.0	15736.0	10132.0	31697.0	33671.0	23333.0	13545.0	32827.0	77837.0
Lachnospiraceae_bacterium_10_1	420.0	324.0	222079.0	0	26239.0	0	0	0	6704.0	25447.0	73388.0	0	0	14314.0	0	0	22531.0	0	0	0	0	0	0	72469.0	19659.0	0
Lachnospiraceae_bacterium_28_4	0	18766.0	30190.0	25122.0	234324.0	142735.0	0	16378.0	1503.0	7880.0	3557.0	395.0	1629.0	2079.0	3749.0	0	19558.0	0	3868.0	25743.0	0	115984.0	14198.0	15847.0	14333.0	0
Lachnospiraceae_bacterium_3_1	485.0	7348.0	1074.0	3331.0	3688.0	195.0	0	2147.0	4520.0	6937.0	1688.0	1124.0	1692.0	6543.0	20998.0	2216.0	119595.0	97.0	2103.0	28986.0	195.0	4040.0	2892.0	1175.0	1699.0	387.0
Lachnospiraceae_bacterium_3_2	0	0	1163.0	0	297.0	0	1432.0	0	3947.0	397.0	0	0	0	0	0	0	389.0	0	233.0	0	4026.0	1423.0	19547.0	1118.0	0	232.0
Lachnospiraceae_bacterium_A2	24495.0	162378.0	0	769.0	0	0	0	0	107202.0	254334.0	18143.0	42530.0	33206.0	859.0	291241.0	55443.0	22829.0	9849.0	348.0	4355.0	35724.0	225093.0	1643533.0	215520.0	0	128734.0
Lachnospiraceae_bacterium_A4	14596.0	62007.0	62264.0	4891.0	85163.0	11167.0	1989.0	55645.0	6130.0	42131.0	117233.0	0	2422.0	9675.0	546.0	90233.0	36108.0	0	196778.0	28121.0	8577.0	98975.0	2132352.0	568.0	19067.0	0
Lachnospiraceae_bacterium_COE1	232.0	14079.0	642.0	0	36318.0	3273.0	2624.0	0	163.0	0	12970.0	840.0	0	212997.0	10331.0	120365.0	5993.0	4391.0	26087.0	6317.0	260.0	11782.0	91702.0	79951.0	2544.0	0
Lachnospiraceae_bacterium_M18_1	2078.0	9488.0	6148.0	99.0	0	0	0	2211.0	17377.0	12504.0	1966.0	659.0	14481.0	2103.0	4639.0	1895.0	1604.0	381.0	1488.0	0	1032.0	0	22488.0	0	274.0	0
Oscillibacter_sp_1_3	31596.0	14318.0	6707.0	4449.0	18333.0	1733.0	1486.0	7788.0	17890.0	7959.0	12892.0	1507.0	94.0	5142.0	1577.0	558.0	6794.0	1044.0	2809.0	4068.0	1158.0	13060.0	24710.0	7993.0	4075.0	5827.0
Romboutsia_ilealis	0	0	0	0	0	487.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris	4811.0	6816.0	2928.0	2262.0	0	0	0	8720.0	2566.0	4554.0	0	2214.0	1161.0	0	3706.0	19059.0	15690.0	1254.0	0	2872.0	989.0	89.0	15239.0	1620.0	0	33254.0
Anaerotruncus_colihominis	0	569.0	0	0	0	0	0	0	1682.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2593.0	0	0	375.0
Anaerotruncus_sp_G3_2012	42954.0	89389.0	31749.0	56639.0	35987.0	2700.0	3315.0	43432.0	123097.0	86233.0	22025.0	36904.0	15330.0	80958.0	35037.0	62018.0	80326.0	37532.0	16958.0	25837.0	53754.0	98618.0	312589.0	23097.0	16897.0	43384.0
Clostridium_cocleatum	0	1179.0	0	0	348.0	0	0	0	0	5231.0	14756.0	8275.0	0	656.0	1679.0	2842.0	2774.0	0	0	0	0	0	0	0	3257.0	1217.0
Faecalibaculum_rodentium	0	0	0	0	0	0	0	0	0	0	4951.0	0	0	0	0	0	0	0	0	0	0	0	0	0	18493.0	0
Firmicutes_bacterium_ASF500	8654.0	12202.0	13447.0	4471.0	3215.0	0	0	2394.0	76105.0	31823.0	3943.0	3653.0	4547.0	24727.0	52122.0	7475.0	40055.0	17079.0	11234.0	10591.0	9406.0	12819.0	45060.0	8834.0	3820.0	57832.0
Parasutterella_excrementihominis	0	0	0	0	230.0	0	0	0	0	0	19241.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1610.0	0
Helicobacter_japonicus	133151.0	70444.0	10071.0	20606.0	296718.0	23910.0	5920.0	182800.0	513183.0	327642.0	299760.0	66820.0	224986.0	797055.0	46817.0	37703.0	74497.0	37038.0	311489.0	17711.0	306172.0	145889.0	282643.0	161032.0	125601.0	229044.0
Escherichia_coli	6215.0	31767.0	27488.0	0	0	377.0	0	4823.0	1909.0	22377.0	14453.0	10869.0	465750.0	80409.0	21446.0	10458.0	18663.0	388.0	33272.0	23865.0	45449.0	0	24230.0	198020.0	391140.0	187837.0
Rodentibacter_ratti	0	0	0	0	0	277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611.0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0	741.0	0	0	0	0	0	0	0	0	3048.0	0	0	0	0	0	0	0	0	0	0	0	0
